m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_pT
214.740612	168.112058	1.939073	2.429566	1.810799	299.919224	163.725486	2.804487	0.555558	0.321523	283.722735
373.675444	204.473139	2.379674	2.980965	2.577179	340.339756	67.371882	0.256764	0.196769	0.381043	192.795470
286.121662	125.592698	2.653079	2.538319	1.495641	164.760172	14.915511	0.882354	2.523822	2.314921	210.187762
161.755330	86.148559	2.870870	1.153975	2.129636	152.260749	65.558798	3.087674	1.516426	0.034101	119.889756
100.958951	33.662778	2.664999	2.986869	2.755075	115.200758	76.969041	2.912633	1.187807	0.060123	225.607977
178.773923	124.536305	1.922674	2.423707	2.571907	202.656988	101.403027	0.370411	1.552550	2.414619	23.367305
1825.143073	1785.779931	2.309756	2.461686	2.605532	277.676864	93.915959	0.141317	1.247127	0.756936	442.321377
374.113358	259.852542	2.907880	2.056181	3.016355	267.584976	58.244072	2.386505	0.477718	0.321721	165.454784
176.522247	145.715020	0.286150	0.304004	0.244610	309.243685	53.238817	2.704389	1.804997	1.467676	36.516664
236.857605	44.102807	0.380275	0.293628	0.401381	187.507968	59.723965	2.674173	2.232525	3.008408	256.289286
513.237494	444.792156	2.006743	1.361368	0.847546	405.882044	202.603355	0.459506	2.078243	2.779836	154.931642
383.171153	297.178853	2.930211	2.177623	1.939296	126.706288	86.599627	1.699598	2.828100	2.296691	283.243414
618.596347	374.162069	1.119152	2.621210	1.853446	296.978506	50.507005	2.022069	1.814061	2.375028	90.683015
296.768670	272.109249	2.044965	3.030635	1.971958	182.318904	30.157100	1.035384	1.329441	0.951815	501.604171
168.376599	78.888418	2.976321	2.686987	3.044809	154.106269	95.601304	1.373799	0.258645	0.739515	181.168419
201.683783	72.803102	1.437139	2.155002	2.600259	107.407662	75.569687	2.988370	2.185285	0.736656	144.451806
234.681751	68.787455	2.412491	3.001264	2.827815	367.035447	282.463647	0.688627	0.076036	1.051611	257.125954
419.851963	386.909796	2.030518	0.343295	1.477899	237.174892	55.214616	1.948032	2.170360	1.606600	200.246629
360.101631	245.839208	0.498192	1.526886	2.570595	196.964787	46.450789	0.898504	1.911313	1.113230	167.534030
187.504846	91.229262	2.743745	2.973406	2.368102	141.703658	122.547165	1.020926	0.485096	0.309519	241.599628
601.651432	211.732091	0.760146	2.191051	2.592362	724.705313	139.379381	1.787936	2.610409	1.328000	600.946901
301.846526	224.061277	2.611920	1.098121	0.268173	201.927112	187.615297	2.307119	3.015853	3.034629	232.423807
184.397308	83.188821	2.532353	0.141734	1.175028	135.171570	51.997510	1.929728	3.016250	2.944310	188.963013
394.910654	92.411097	0.429011	2.221069	1.799543	328.198763	112.650768	0.328573	2.182176	2.641730	129.876951
146.164347	105.192365	2.284463	1.568366	2.540779	227.687419	65.924294	1.671225	1.379242	1.111362	79.658857
160.712216	109.500036	1.843061	2.884476	2.552009	322.580572	71.885135	0.855612	1.430130	0.061362	346.388053
310.589442	215.069634	1.767091	2.676110	1.075015	178.669165	65.739236	0.991691	2.245935	2.112296	137.187248
431.546495	307.285034	1.382905	2.849521	2.015038	217.617673	53.506261	0.511794	1.380992	0.670676	35.788233
204.200865	109.892068	0.183817	2.915235	1.226123	202.907054	66.783335	2.769688	1.224366	0.546420	458.511915
181.450064	140.139113	0.198031	1.367041	0.985484	185.819877	77.213261	0.600762	2.000974	2.141696	178.383937
236.533333	156.834997	1.288586	2.670414	2.441352	185.065515	43.790571	0.128533	1.754622	0.799328	203.047432
501.215807	353.069520	2.466948	2.511841	2.084191	105.125601	96.384084	2.118788	1.927573	1.128144	183.595349
606.541858	443.899957	1.721471	0.539924	0.668498	363.927928	337.597425	1.950082	2.651267	2.832735	377.026551
272.316837	199.043100	0.593300	0.858675	1.031101	603.481243	344.663101	2.147844	1.511303	1.979775	129.728291
377.868417	107.259867	2.137672	1.810143	2.138805	161.795703	146.417344	2.899280	0.011832	0.851589	100.552397
283.746733	157.097695	1.209121	0.289042	1.398304	198.772877	86.804687	1.714497	2.608333	3.033375	264.981321
284.735217	93.317826	1.721029	1.377744	1.485861	368.342922	316.886705	1.327882	2.953684	2.623880	156.414172
